,title,year,rating,genre,movie_length,votes
184,The Hobbit: The Desolation of Smaug,(2013),7.8,"Adventure, Fantasy",161 min,"637,214"
185,Soul,(2020),8.1,"Animation, Adventure, Comedy",100 min,"300,342"
186,Demon Slayer the Movie: Mugen Train,(2020),8.3,"Animation, Action, Adventure",117 min,"48,941"
187,Snatch,(2000),8.2,"Comedy, Crime",102 min,"829,115"
188,Silver Linings Playbook,(2012),7.7,"Comedy, Drama, Romance",122 min,"693,493"
189,City of God,(2002),8.6,"Crime, Drama",130 min,"735,358"
190,Fargo,(1996),8.1,"Crime, Thriller",98 min,"657,774"
191,Harry Potter and the Half-Blood Prince,(2009),7.6,"Action, Adventure, Family",153 min,"520,613"
192,The Truman Show,(1998),8.1,"Comedy, Drama",103 min,"1,020,740"
193,X: First Class,(2011),7.7,"Action, Adventure, Sci-Fi",131 min,"674,184"
194,Little Miss Sunshine,(2006),7.8,"Comedy, Drama",101 min,"463,989"
195,The Curious Case of Benjamin Button,(2008),7.8,"Drama, Fantasy, Romance",166 min,"628,790"
196,The Deer Hunter,(1978),8.1,"Drama, War",183 min,"330,859"
197,A Star Is Born,(2018),7.6,"Drama, Music, Romance",136 min,"368,350"
198,Hidden Figures,(2016),7.9,"Biography, Drama, History",127 min,"219,170"
199,"Three Billboards Outside Ebbing, Missouri",(2017),8.1,"Comedy, Crime, Drama",115 min,"483,028"
200,Predator,(1987),7.8,"Action, Adventure, Horror",107 min,"396,018"
201,Indiana Jones and the Raiders of the Lost Ark,(1981),8.4,"Action, Adventure",115 min,"935,383"
202,E.T. the Extra-Terrestrial,(1982),7.8,"Adventure, Family, Sci-Fi",115 min,"395,364"
203,Office Space,(1999),7.7,Comedy,89 min,"257,689"
204,The Handmaiden,(2016),8.1,"Drama, Romance, Thriller",145 min,"135,123"
205,Atonement,(2007),7.8,"Drama, Mystery, Romance",123 min,"269,561"
206,Jaws,(1975),8.0,"Adventure, Thriller",124 min,"574,739"
207,Home Alone,(1990),7.6,"Comedy, Family",103 min,"548,182"
208,Breakfast at Tiffany's,(1961),7.6,"Comedy, Drama, Romance",115 min,"175,906"
209,Reservoir Dogs,(1992),8.3,"Crime, Drama, Thriller",99 min,"980,325"
210,Nightcrawler,(2014),7.8,"Crime, Drama, Thriller",117 min,"513,936"
211,The Help,(2011),8.0,Drama,146 min,"445,323"
212,Life Is Beautiful,(1997),8.6,"Comedy, Drama, Romance",116 min,"669,388"
213,True Grit,(2010),7.6,"Drama, Western",110 min,"331,130"
214,Mulholland Drive,(2001),7.9,"Drama, Mystery, Thriller",147 min,"345,050"
215,Groundhog Day,(1993),8.0,"Comedy, Drama, Fantasy",101 min,"607,403"
216,Mission: Impossible - Fallout,(2018),7.7,"Action, Adventure, Thriller",147 min,"317,180"
217,Blood Diamond,(2006),8.0,"Adventure, Drama, Thriller",143 min,"531,663"
218,L.A. Confidential,(1997),8.2,"Crime, Drama, Mystery",138 min,"565,720"
219,2001: A Space Odyssey,(1968),8.3,"Adventure, Sci-Fi",149 min,"644,905"
220,Skyfall,(2012),7.8,"Action, Adventure, Thriller",143 min,"679,832"
221,Kill Bill: Vol. 1,(2003),8.1,"Action, Crime, Drama",111 min,"1,072,258"
222,Captain America: The Winter Soldier,(2014),7.7,"Action, Adventure, Sci-Fi",136 min,"804,783"
223,The Intouchables,(2011),8.5,"Biography, Comedy, Drama",112 min,"821,137"
224,The Wizard of Oz,(1939),8.0,"Adventure, Family, Fantasy",102 min,"385,490"
225,Airplane!,(1980),7.7,Comedy,88 min,"230,705"
226,Ferris Bueller's Day Off,(1986),7.8,Comedy,103 min,"344,451"
227,Trainspotting,(1996),8.1,Drama,93 min,"668,204"
228,Ratatouille,(2007),8.0,"Animation, Adventure, Comedy",111 min,"687,983"
229,Hot Fuzz,(2007),7.8,"Action, Comedy, Mystery",121 min,"491,632"
230,Full Metal Jacket,(1987),8.3,"Drama, War",116 min,"716,557"
231,Ford v Ferrari,(2019),8.1,"Action, Biography, Drama",152 min,"356,581"
232,Zodiac,(2007),7.7,"Crime, Drama, Mystery",157 min,"515,009"
233,500 Days of Summer,(2009),7.6,"Comedy, Drama, Romance",95 min,"498,117"
234,Moonrise Kingdom,(2012),7.8,"Comedy, Drama, Romance",94 min,"340,648"
235,Remember the Titans,(2000),7.8,"Biography, Drama, Sport",113 min,"209,547"
236,Donnie Brasco,(1997),7.7,"Biography, Crime, Drama",127 min,"297,286"
237,The Sandlot,(1993),7.8,"Comedy, Drama, Family",101 min,"87,583"
238,Road to Perdition,(2002),7.7,"Crime, Drama, Thriller",117 min,"261,516"
239,American History X,(1998),8.5,Drama,119 min,"1,087,385"
240,Dark Waters,(2019),7.6,"Biography, Drama, History",126 min,"81,456"
241,Toy Story,(1995),8.3,"Animation, Adventure, Comedy",81 min,"951,810"
242,Dead Poets Society,(1989),8.1,"Comedy, Drama",128 min,"464,600"
243,X-Men: Days of Future Past,(2014),7.9,"Action, Adventure, Sci-Fi",132 min,"691,724"
244,The Last Samurai,(2003),7.7,"Action, Drama",154 min,"424,661"
245,Die Hard,(1988),8.2,"Action, Thriller",132 min,"849,804"
246,Marriage Story,(2019),7.9,"Drama, Romance",137 min,"288,503"
247,A Beautiful Mind,(2001),8.2,"Biography, Drama",135 min,"901,147"
248,Wonder,(I) (2017),8.0,"Drama, Family",113 min,"158,122"
249,Up,(2009),8.2,"Animation, Adventure, Comedy",96 min,"1,001,915"
250,3:10 to Yuma,(2007),7.7,"Action, Crime, Drama",122 min,"303,516"
251,Your Name.,(2016),8.4,"Animation, Drama, Fantasy",106 min,"242,407"
252,Psycho,(1960),8.5,"Horror, Mystery, Thriller",109 min,"646,512"
253,Ocean's Eleven,(2001),7.7,"Crime, Thriller",116 min,"552,216"
254,Inside Man,(2006),7.6,"Crime, Drama, Mystery",129 min,"362,653"
255,Inside Out,(I) (2015),8.1,"Animation, Adventure, Comedy",95 min,"676,990"
256,Gone with the Wind,(1939),8.1,"Drama, History, Romance",238 min,"307,436"
257,V for Vendetta,(2005),8.1,"Action, Drama, Sci-Fi",132 min,"1,089,322"
258,Fantastic Mr. Fox,(2009),7.9,"Animation, Adventure, Comedy",87 min,"221,402"
259,Apocalypto,(2006),7.8,"Action, Adventure, Drama",139 min,"305,301"
260,Room,(I) (2015),8.1,"Drama, Thriller",118 min,"403,889"
261,Planet of the Apes,(1968),8.0,"Adventure, Sci-Fi",112 min,"175,709"
262,Downfall,(2004),8.2,"Biography, Drama, History",156 min,"347,526"
263,Tangled,(2010),7.7,"Animation, Adventure, Comedy",100 min,"434,882"
264,Amadeus,(1984),8.3,"Biography, Drama, Music",160 min,"390,107"
265,Howl's Moving Castle,(2004),8.2,"Animation, Adventure, Family",119 min,"372,375"
266,Incendies,(2010),8.3,"Drama, Mystery, War",131 min,"169,487"
267,The Butterfly Effect,(2004),7.6,"Drama, Sci-Fi, Thriller",113 min,"476,171"
268,Sin City,(2005),8.0,"Crime, Thriller",124 min,"756,848"
269,The Incredibles,(2004),8.0,"Animation, Action, Adventure",115 min,"696,696"
270,Before Sunrise,(1995),8.1,"Drama, Romance",101 min,"294,917"
271,Rocky,(1976),8.1,"Drama, Sport",120 min,"553,572"
272,In the Mood for Love,(2000),8.1,"Drama, Romance",98 min,"142,852"
273,Gran Torino,(2008),8.1,Drama,116 min,"755,751"
274,Spotlight,(I) (2015),8.1,"Biography, Crime, Drama",129 min,"454,282"
275,Edge of Tomorrow,(2014),7.9,"Action, Adventure, Sci-Fi",113 min,"648,577"
276,The Blind Side,(2009),7.6,"Biography, Drama, Sport",129 min,"318,587"
277,Dances with Wolves,(1990),8.0,"Adventure, Drama, Western",181 min,"255,946"
278,Shrek,(2001),7.9,"Animation, Adventure, Comedy",90 min,"652,206"
279,The Thing,(1982),8.1,"Horror, Mystery, Sci-Fi",109 min,"404,461"
280,Indiana Jones and the Last Crusade,(1989),8.2,"Action, Adventure",127 min,"731,722"
281,Unforgiven,(1992),8.2,"Drama, Western",130 min,"400,200"
282,Willy Wonka & the Chocolate Factory,(1971),7.8,"Family, Fantasy, Musical",100 min,"194,374"
283,Star Trek Into Darkness,(2013),7.7,"Action, Adventure, Sci-Fi",132 min,"477,212"
284,Man on Fire,(2004),7.7,"Action, Crime, Drama",146 min,"353,149"
285,A Bronx Tale,(1993),7.8,"Crime, Drama",121 min,"137,078"
286,The Sound of Music,(1965),8.0,"Biography, Drama, Family",172 min,"222,264"
287,Platoon,(1986),8.1,"Drama, War",120 min,"402,931"
288,Training Day,(2001),7.7,"Adventure, Crime, Drama",122 min,"419,428"
289,"Lock, Stock and Two Smoking Barrels",(1998),8.2,"Action, Comedy, Crime",107 min,"566,472"
290,Midnight Cowboy,(1969),7.8,Drama,113 min,"108,559"
291,Finding Nemo,(2003),8.1,"Animation, Adventure, Comedy",100 min,"1,006,506"
292,WALL·E,(2008),8.4,"Animation, Adventure, Family",98 min,"1,070,721"
293,The Royal Tenenbaums,(2001),7.6,"Comedy, Drama",110 min,"284,621"
294,Some Like It Hot,(1959),8.2,"Comedy, Music, Romance",121 min,"259,790"
295,The Bourne Identity,(2002),7.9,"Action, Mystery, Thriller",119 min,"534,323"
296,Cast Away,(2000),7.8,"Adventure, Drama, Romance",143 min,"569,567"
297,Rush,(I) (2013),8.1,"Action, Biography, Drama",123 min,"463,544"
298,The Trial of the Chicago 7,(2020),7.8,"Drama, History, Thriller",129 min,"167,845"
299,Magnolia,(1999),8.0,Drama,188 min,"305,586"
300,To Have and Have Not,(1944),7.8,"Adventure, Comedy, Film-Noir",100 min,"33,845"
301,Big Fish,(2003),8.0,"Adventure, Drama, Fantasy",125 min,"433,173"
302,The Fault in Our Stars,(2014),7.7,"Drama, Romance",126 min,"365,390"
303,My Cousin Vinny,(1992),7.6,"Comedy, Crime",120 min,"119,682"
304,Rain Man,(1988),8.0,Drama,133 min,"498,926"
305,The Game,(1997),7.7,"Drama, Mystery, Thriller",129 min,"379,030"
306,The Bridge on the River Kwai,(1957),8.1,"Adventure, Drama, War",161 min,"215,294"
